,"p, атм","T, K",t_exp,Δt_exp,t_calc,dT:Aramco13,dT:Aramco20,dT:Aramco30,dT:GriMech12,dT:GriMech30,dT:NUImech,dT:RAMEC,dT:Slavinskaya,dT:USCC1C3,dT:ZhukovC1C4,dT:ZhukovC1C7,dT:ZhukovKongCH4,OH:Aramco13,OH:Aramco20,OH:Aramco30,OH:GriMech12,OH:GriMech30,OH:NUImech,OH:RAMEC,OH:Slavinskaya,OH:USCC1C3,OH:ZhukovC1C4,OH:ZhukovC1C7,OH:ZhukovKongCH4
30,3.42,1536.0,292.0,5.0,252.0,442.55513183368964,461.3013191205402,465.65461259571674,281.9227832016359,251.48359153312018,425.2240882032083,291.7382967929663,387.0912306886628,275.93108956066646,299.6320663624223,299.634287647605,327.7026313892684,452.34389990070815,471.1130641712456,475.45521840053607,292.92986253674474,260.88682510678177,433.79874990761124,302.23610194480057,393.600144995536,285.345593164076,310.23527135823576,310.1760293015901,342.6765539089277
31,3.45,1466.0,365.0,6.0,474.0,500.44622321978846,499.9638527381536,499.78136374517277,500.16583542867016,479.8033357497058,499.49497718795845,500.2523267946847,500.10764385792515,499.93404023957885,500.0148055395757,499.9582301396058,500.1100771409308,501.0566347526766,500.17107372835665,501.7083479535283,500.4064026869541,489.84094100676344,500.04821161459523,500.75680930564084,500.4176418002325,500.06287148573875,500.15903148825095,500.1894998235621,500.8686902676655
32,3.86,1585.0,195.0,20.0,148.0,250.31263745870555,261.6713083292857,263.43412938111214,167.69364628642845,150.1292576169951,238.7863995340982,174.37506179801446,228.0965943026852,163.98692176339674,180.1376079100576,180.13720335589667,198.34653233522266,258.3052552424043,269.6480277782404,271.4246921127779,176.76222884898067,157.80269958104265,245.75947601093787,183.01022168341595,233.29787462242223,171.70367681595144,188.799019172468,188.77705190747594,210.37891275108683
33,4.0,1583.0,149.0,13.0,148.0,247.97170558842308,259.1976862313059,260.9602031103883,166.1591785966946,148.37972233649464,236.5570537028123,172.65577938952376,226.4311244938165,162.2200146811483,178.25429886074858,178.25460468570978,196.1077775689663,255.60383374571978,266.84081543091855,268.6327746461561,174.85500330812323,155.74677727247365,243.27650562129898,180.96490575883584,231.40291435027967,169.60027130562003,186.62555118443439,186.59261153435844,207.81845421359125
34,4.27,1531.0,213.0,15.0,219.0,389.9536536979123,406.13802806967146,409.97317604864776,251.38626038380158,220.42513338356395,374.21534084247276,259.1491661716608,348.2969594584519,243.1004651492377,265.48427005265165,265.4808734080152,289.056090226002,397.41221961020426,413.65006646682684,417.49656857152144,259.8597290336422,227.56813606112198,380.79438618479855,267.1667301074091,353.18018357168785,250.26721751766098,273.5587550654537,273.6118832335651,301.3195966592406
35,11.9,1581.0,86.0,5.0,63.0,106.08086373922013,110.34672508192376,110.9381843268466,76.14337682208341,63.17104781865268,99.84237570185391,78.02182258885288,111.00886054463618,70.68418843835398,80.05930385945976,80.05962094474994,86.35120111717269,108.13707428859753,112.39306118298676,113.00870471694232,78.48128546395839,65.09124256557051,101.66312486239593,80.29414303824231,111.93718090857197,72.62834496283014,82.35502998851203,82.35728489528591,91.11505300574153
36,13.5,1494.0,165.0,8.0,119.0,222.8829323241493,228.95192396709427,231.2981357973424,152.5707388511222,119.42532816197567,210.61173277579942,153.5737285539585,234.8013733039996,136.26860392269515,156.61623809559984,156.6154307605765,165.0864410202835,224.90962687576152,230.99268646295693,233.35147729467027,154.87067243436204,121.35109372270342,212.44558479356652,155.81376282227947,235.6571791499919,138.2120799275507,158.89157267345306,158.89466399936623,171.9785031573453
37,14.0,1553.0,92.0,7.0,70.0,121.15821313608359,125.49544814549382,126.33828434347767,86.34316773576066,69.7090315982297,113.9962360403208,87.87870458862547,129.90999100721686,78.70918559688207,89.98909206081609,89.98880549245821,96.11764306119842,122.93904618165051,127.26755021093248,128.12366418233162,88.37145379593531,71.37009494666941,115.57659371521052,89.85788788956404,130.62725615577818,80.37797488525032,91.9769280973647,91.99712897820292,101.1442205338863
38,14.8,1347.0,440.0,20.0,450.0,499.8463283487157,497.40528483251785,498.49572950190014,499.8871723833828,449.3614807067809,497.1424273307633,500.07877374779036,499.73047928990496,500.1123667138032,499.9095610133973,499.29712409364475,500.16330327763814,500.2780862046859,500.2209763011618,500.2802567663613,500.29854998451015,451.8475228196367,500.0786156495509,500.352667945914,500.8461402104189,500.3030909737792,500.2949129236483,500.01381010270853,500.3420488069363
39,15.0,1574.0,75.0,7.0,55.0,94.09523281294734,97.66283899852816,98.19236636852051,68.16810839184265,55.41881503735249,88.26388150023838,69.57762468259986,102.10729797478037,62.42575363048393,71.35757088546832,71.36013259719219,76.45573071878532,95.69287968968536,99.25483196844357,99.7954156596741,69.99450635400905,56.89840853869522,89.67353215830224,71.34965436850341,102.72774553368569,63.91529843910844,73.15183241142617,73.16647247850499,80.90515841870867
40,15.8,1628.0,33.0,2.0,35.0,55.53423658402943,57.909410675199474,58.04315459373908,41.59125422152945,34.70663463560607,51.766804762646366,42.7761355146115,60.40777298732822,38.73966721920141,44.02588518062908,44.02615445146792,47.64733750643922,56.92029762631024,59.295544172945455,59.42763318545054,43.189370062995785,35.97722256208297,52.97453932615322,44.322973420408445,60.93452667988121,40.01806733970818,45.59830481033648,45.603509285885075,51.06175067792399
41,17.6,1722.0,18.0,2.0,16.0,23.480812094576194,24.577792099571464,24.511873513664323,18.595674344612323,16.09477890721583,21.63031750820835,19.30691501784324,25.237549572545312,17.70660737219314,19.952174504623127,19.952181073460434,21.90588040369045,24.55638008307281,25.644911014347475,25.583442014203378,19.864152035264336,17.058982683614303,22.539656942418393,20.5293773256929,25.633667580771352,18.67245982594449,21.184522118422596,21.194474794023265,24.13968979700503
42,23.6,1433.0,180.0,14.0,127.0,262.72441986938264,265.10435841194976,268.82280849205915,177.08269778792797,126.77003553285365,244.65939236983425,173.91157729445558,300.57258435495515,148.7842872501172,177.60907719165255,177.60847201532428,182.00769188927495,264.0605960468551,266.4406568757195,270.1672408481965,178.57039294647075,128.14296209916301,245.88406051788218,175.4588413580718,301.07145227125227,150.15715547494918,179.1729649103885,179.16817125050568,182.69552335703196
